age.grp,year,cap,n,ipd,c.and.i,cap_per_100k,ipd_per_100k,c.and.i_per_100k,prop.ipd
6-11m,2006,74,124298,19,93,59.53434488085086,15.28584530724549,74.82019018809635,0.20430107526881722
6-11m,2007,73,132542,23,96,55.07688129045888,17.35298999562403,72.4298712860829,0.23958333333333334
6-11m,2008,73,136178,28,101,53.60630938918181,20.561324149275215,74.16763353845703,0.27722772277227725
6-11m,2009,70,138181,34,104,50.65819468667907,24.605408847815546,75.26360353449462,0.3269230769230769
6-11m,2010,74,139295,34,108,53.12466348397286,24.408629168311858,77.53329265228471,0.3148148148148148
6-11m,2011,71,135822,27,98,52.274300187009466,19.878959226045854,72.15325941305532,0.2755102040816326
6-11m,2012,57,142982,9,66,39.86515785203732,6.294498608216419,46.15965646025374,0.13636363636363635
6-11m,2013,54,145510,7,61,37.11085148787025,4.81066593361281,41.92151742148306,0.11475409836065574
6-11m,2014,54,143890,20,74,37.5286677322955,13.899506567516854,51.428174299812355,0.2702702702702703
6-11m,2015,54,144802,20,74,37.29230259250563,13.811963923150234,51.10426651565586,0.2702702702702703
6-11m,2016,54,149991,24,78,36.00216012960778,16.000960057603457,52.00312018721124,0.3076923076923077
6-11m,2017,56,143978,36,92,38.89483115475975,25.00382002805984,63.8986511828196,0.391304347826087
6-11m,2018,64,142066,33,97,45.04948404262807,23.2286402094801,68.27812425210817,0.3402061855670103
6-11m,2019,66,141508,32,98,46.64047262345591,22.613562484099837,69.25403510755575,0.32653061224489793
65 and above,2006,7899,2645893,489,8388,298.5381495018884,18.48147298473521,317.0196224866236,0.058297567954220315
65 and above,2007,8095,2717373,460,8555,297.89800664097277,16.928114027776093,314.82612066874884,0.05376972530683811
65 and above,2008,8604,2785008,525,9129,308.9398666000241,18.850933282776925,327.790799882801,0.05750903713440684
65 and above,2009,8567,2869306,469,9036,298.5739408762955,16.345415929845057,314.91935680614057,0.05190349712262063
65 and above,2010,8921,2964204,472,9393,300.9576938699226,15.923330513014625,316.8810243829372,0.050250186308953476
65 and above,2011,9819,3063961,546,10365,320.46752553312524,17.82007016407846,338.2875956972037,0.05267727930535456
65 and above,2012,10291,3188099,600,10891,322.79424196049115,18.819992729209474,341.6142346897007,0.055091359838398676
65 and above,2013,10411,3302795,530,10941,315.2178685022837,16.047014725406815,331.2648832276905,0.04844164153185267
65 and above,2014,10861,3412693,516,11377,318.25306290369514,15.12002398106129,333.37308688475645,0.0453546629164103
65 and above,2015,11641,3522736,525,12166,330.4533748768003,14.903188885003022,345.35656376180333,0.043153049482163405
65 and above,2016,12535,3638239,593,13128,344.5348147826462,16.29909414966966,360.8339089323159,0.045170627666057284
65 and above,2017,13156,3754633,763,13919,350.3937668475188,20.32156005660207,370.71532690412084,0.05481715640491414
65 and above,2018,13270,3874258,765,14035,342.51719942244426,19.745716470095694,362.2629158925399,0.054506590666191665
65 and above,2019,12979,3997068,747,13726,324.71301463973094,18.688698816232296,343.4017134559632,0.05442226431589684
