age.grp,year,PCV7s,PCV13s,PCV13s_not7,PPV23s,PPV23s_not13,not_VT,total,prop.PCV7,prop.PCV13,prop.PCV13_not7,prop.PPV23,prop.PPV23_not13,prop.notVT,prop.VT
50-64,2009,50,153,103,221,72,61,286,0.17482517482517482,0.534965034965035,0.36013986013986016,0.7727272727272727,0.2517482517482518,0.21328671328671328,0.7867132867132867
50-64,2010,29,172,143,229,66,79,317,0.0914826498422713,0.5425867507886435,0.45110410094637227,0.722397476340694,0.2082018927444795,0.24921135646687698,0.750788643533123
50-64,2011,32,172,140,239,69,80,321,0.09968847352024922,0.5358255451713395,0.43613707165109034,0.7445482866043613,0.21495327102803738,0.24922118380062305,0.7507788161993769
50-64,2012,24,158,134,243,86,78,322,0.07453416149068323,0.4906832298136646,0.4161490683229814,0.7546583850931677,0.2670807453416149,0.2422360248447205,0.7577639751552795
50-64,2013,18,110,92,192,87,84,281,0.06405693950177936,0.3914590747330961,0.3274021352313167,0.6832740213523132,0.3096085409252669,0.298932384341637,0.7010676156583631
50-64,2014,40,136,96,223,88,94,318,0.12578616352201258,0.4276729559748428,0.3018867924528302,0.7012578616352201,0.27672955974842767,0.29559748427672955,0.7044025157232705
50-64,2015,23,95,72,200,106,98,299,0.07692307692307693,0.3177257525083612,0.2408026755852843,0.6688963210702341,0.35451505016722407,0.3277591973244147,0.6722408026755853
50-64,2016,36,105,69,220,116,125,346,0.10404624277456648,0.30346820809248554,0.1994219653179191,0.6358381502890174,0.3352601156069364,0.36127167630057805,0.6387283236994219
50-64,2017,46,136,90,287,153,116,405,0.11358024691358025,0.3358024691358025,0.2222222222222222,0.7086419753086419,0.37777777777777777,0.28641975308641976,0.7135802469135802
50-64,2018,41,108,67,257,152,113,373,0.10991957104557641,0.289544235924933,0.17962466487935658,0.6890080428954424,0.4075067024128686,0.30294906166219837,0.6970509383378016
50-64,2019,39,129,90,277,148,128,405,0.0962962962962963,0.31851851851851853,0.2222222222222222,0.6839506172839506,0.3654320987654321,0.3160493827160494,0.6839506172839507
6-11M,2006,3,15,12,15,1,3,19,0.15789473684210525,0.7894736842105263,0.631578947368421,0.7894736842105263,0.05263157894736842,0.15789473684210525,0.8421052631578947
6-11M,2007,1,14,13,17,6,3,23,0.043478260869565216,0.6086956521739131,0.5652173913043478,0.7391304347826086,0.2608695652173913,0.13043478260869565,0.8695652173913043
6-11M,2008,1,15,14,20,5,8,28,0.03571428571428571,0.5357142857142857,0.5,0.7142857142857143,0.17857142857142858,0.2857142857142857,0.7142857142857143
6-11M,2009,1,23,22,29,6,5,34,0.029411764705882353,0.6764705882352942,0.6470588235294118,0.8529411764705882,0.17647058823529413,0.14705882352941177,0.8529411764705882
6-11M,2010,2,20,18,22,3,11,34,0.058823529411764705,0.5882352941176471,0.5294117647058824,0.6470588235294118,0.08823529411764706,0.3235294117647059,0.6764705882352942
6-11M,2011,1,19,18,21,2,6,27,0.037037037037037035,0.7037037037037037,0.6666666666666666,0.7777777777777778,0.07407407407407407,0.2222222222222222,0.7777777777777778
6-11M,2012,0,0,0,3,3,6,9,0,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.33333333333333337
6-11M,2013,0,0,0,5,5,2,7,0,0,0,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.7142857142857143
6-11M,2014,1,4,3,10,6,10,20,0.05,0.2,0.15,0.5,0.3,0.5,0.5
6-11M,2015,1,5,4,8,3,12,20,0.05,0.25,0.2,0.4,0.15,0.6,0.4
6-11M,2016,2,6,4,9,3,15,24,0.08333333333333333,0.25,0.16666666666666666,0.375,0.125,0.625,0.375
6-11M,2017,3,3,0,13,10,23,36,0.08333333333333333,0.08333333333333333,0,0.3611111111111111,0.2777777777777778,0.6388888888888888,0.36111111111111116
6-11M,2018,1,7,6,14,7,19,33,0.030303030303030304,0.21212121212121213,0.18181818181818182,0.42424242424242425,0.21212121212121213,0.5757575757575758,0.4242424242424242
6-11M,2019,4,10,6,18,8,14,32,0.125,0.3125,0.1875,0.5625,0.25,0.4375,0.5625
65 and above,2006,206,321,115,380,89,79,489,0.4212678936605317,0.656441717791411,0.23517382413087934,0.7770961145194274,0.18200408997955012,0.16155419222903886,0.8384458077709611
65 and above,2007,152,277,125,336,84,99,460,0.33043478260869563,0.6021739130434782,0.2717391304347826,0.7304347826086957,0.1826086956521739,0.21521739130434783,0.7847826086956522
65 and above,2008,102,282,180,358,110,133,525,0.19428571428571428,0.5371428571428571,0.34285714285714286,0.6819047619047619,0.20952380952380953,0.25333333333333335,0.7466666666666666
65 and above,2009,70,235,165,308,92,142,469,0.14925373134328357,0.5010660980810234,0.35181236673773986,0.6567164179104478,0.19616204690831557,0.302771855010661,0.6972281449893389
65 and above,2010,52,211,159,288,89,172,472,0.11016949152542373,0.4470338983050847,0.336864406779661,0.6101694915254238,0.1885593220338983,0.3644067796610169,0.6355932203389831
65 and above,2011,46,242,196,346,109,195,546,0.08424908424908426,0.4432234432234432,0.358974358974359,0.6336996336996337,0.19963369963369965,0.35714285714285715,0.6428571428571428
65 and above,2012,46,254,208,378,130,216,600,0.07666666666666666,0.42333333333333334,0.3466666666666667,0.63,0.21666666666666667,0.36,0.64
65 and above,2013,34,179,145,315,140,211,530,0.06415094339622641,0.33773584905660375,0.27358490566037735,0.5943396226415094,0.2641509433962264,0.39811320754716983,0.6018867924528302
65 and above,2014,46,151,105,287,138,227,516,0.08914728682170543,0.2926356589147287,0.20348837209302326,0.5562015503875969,0.26744186046511625,0.43992248062015504,0.560077519379845
65 and above,2015,51,156,105,288,137,232,525,0.09714285714285714,0.29714285714285715,0.2,0.5485714285714286,0.26095238095238094,0.4419047619047619,0.5580952380952381
65 and above,2016,50,160,110,326,167,266,593,0.08431703204047218,0.26981450252951095,0.18549747048903878,0.5497470489038786,0.28161888701517707,0.448566610455312,0.551433389544688
65 and above,2017,70,228,158,445,218,317,763,0.09174311926605505,0.29882044560943644,0.20707732634338138,0.583224115334207,0.2857142857142857,0.41546526867627787,0.5845347313237221
65 and above,2018,75,225,150,440,217,323,765,0.09803921568627451,0.29411764705882354,0.19607843137254902,0.5751633986928104,0.28366013071895424,0.4222222222222222,0.5777777777777777
65 and above,2019,73,233,160,439,207,307,747,0.09772423025435073,0.3119143239625167,0.214190093708166,0.5876840696117804,0.27710843373493976,0.4109772423025435,0.5890227576974565
